	83078511	83078629	Gm24884	predicted gene, 24884 [Source:MGI Symbol;Acc:MGI:5454661]	ENSMUSG00000089409
Type II pneumocyte differentiation	82290173	82705750	Nfib	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	ENSMUSG00000008575
anterior commissure morphogenesis	82290173	82705750	Nfib	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	ENSMUSG00000008575
cell differentiation involved in salivary gland development	82290173	82705750	Nfib	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	ENSMUSG00000008575
chondrocyte differentiation	82290173	82705750	Nfib	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	ENSMUSG00000008575
commissural neuron axon guidance	82290173	82705750	Nfib	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	ENSMUSG00000008575
abnormal forebrain development	82290173	82705750	Nfib	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	ENSMUSG00000008575
forebrain radial glial cell differentiation	82290173	82705750	Nfib	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	ENSMUSG00000008575
abnormal hindbrain development	82290173	82705750	Nfib	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	ENSMUSG00000008575
lung ciliated cell differentiation	82290173	82705750	Nfib	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	ENSMUSG00000008575
decreased mesenchymal cell proliferation involved in lung development	82290173	82705750	Nfib	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	ENSMUSG00000008575
negative regulation of cell proliferation	82290173	82705750	Nfib	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	ENSMUSG00000008575
negative regulation of epithelial cell proliferation involved in lung morphogenesis	82290173	82705750	Nfib	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	ENSMUSG00000008575
negative regulation of mesenchymal cell proliferation involved in lung development	82290173	82705750	Nfib	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	ENSMUSG00000008575
positive regulation of transcription from RNA polymerase II promoter	82290173	82705750	Nfib	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	ENSMUSG00000008575
principal sensory nucleus of trigeminal nerve development	82290173	82705750	Nfib	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	ENSMUSG00000008575
salivary gland cavitation	82290173	82705750	Nfib	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	ENSMUSG00000008575
transcriptional activator activity RNA polymerase II core promoter proximal region sequence-specific binding	82290173	82705750	Nfib	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	ENSMUSG00000008575
	82692805	82693711	Gm11269	predicted gene 11269 [Source:MGI Symbol;Acc:MGI:3649855]	ENSMUSG00000086293
	82642400	82642666	Gm11268	predicted gene 11268 [Source:MGI Symbol;Acc:MGI:3649856]	ENSMUSG00000084357
premature hair loss	82798738	82859958	Zdhhc21	zinc finger, DHHC domain containing 21 [Source:MGI Symbol;Acc:MGI:1915518]	ENSMUSG00000028403
short hair	82798738	82859958	Zdhhc21	zinc finger, DHHC domain containing 21 [Source:MGI Symbol;Acc:MGI:1915518]	ENSMUSG00000028403
sparse hair	82798738	82859958	Zdhhc21	zinc finger, DHHC domain containing 21 [Source:MGI Symbol;Acc:MGI:1915518]	ENSMUSG00000028403
abnormal hair growth	82798738	82859958	Zdhhc21	zinc finger, DHHC domain containing 21 [Source:MGI Symbol;Acc:MGI:1915518]	ENSMUSG00000028403
abnormal hair shaft melanin granule morphology	82798738	82859958	Zdhhc21	zinc finger, DHHC domain containing 21 [Source:MGI Symbol;Acc:MGI:1915518]	ENSMUSG00000028403
matted coat	82798738	82859958	Zdhhc21	zinc finger, DHHC domain containing 21 [Source:MGI Symbol;Acc:MGI:1915518]	ENSMUSG00000028403
abnormal epidermal layer morphology	82798738	82859958	Zdhhc21	zinc finger, DHHC domain containing 21 [Source:MGI Symbol;Acc:MGI:1915518]	ENSMUSG00000028403
abnormal hair medullary septa cells	82798738	82859958	Zdhhc21	zinc finger, DHHC domain containing 21 [Source:MGI Symbol;Acc:MGI:1915518]	ENSMUSG00000028403
abnormal coat appearance	82798738	82859958	Zdhhc21	zinc finger, DHHC domain containing 21 [Source:MGI Symbol;Acc:MGI:1915518]	ENSMUSG00000028403
underdeveloped hair follicles	82798738	82859958	Zdhhc21	zinc finger, DHHC domain containing 21 [Source:MGI Symbol;Acc:MGI:1915518]	ENSMUSG00000028403
thick epidermis	82798738	82859958	Zdhhc21	zinc finger, DHHC domain containing 21 [Source:MGI Symbol;Acc:MGI:1915518]	ENSMUSG00000028403
abnormal hair follicle physiology	82798738	82859958	Zdhhc21	zinc finger, DHHC domain containing 21 [Source:MGI Symbol;Acc:MGI:1915518]	ENSMUSG00000028403
enlarged sebaceous gland	82798738	82859958	Zdhhc21	zinc finger, DHHC domain containing 21 [Source:MGI Symbol;Acc:MGI:1915518]	ENSMUSG00000028403
dilated hair follicle infundibulum	82798738	82859958	Zdhhc21	zinc finger, DHHC domain containing 21 [Source:MGI Symbol;Acc:MGI:1915518]	ENSMUSG00000028403
abnormal sebaceous gland physiology	82798738	82859958	Zdhhc21	zinc finger, DHHC domain containing 21 [Source:MGI Symbol;Acc:MGI:1915518]	ENSMUSG00000028403
sebaceous gland hyperplasia	82798738	82859958	Zdhhc21	zinc finger, DHHC domain containing 21 [Source:MGI Symbol;Acc:MGI:1915518]	ENSMUSG00000028403
increased sebum secretion	82798738	82859958	Zdhhc21	zinc finger, DHHC domain containing 21 [Source:MGI Symbol;Acc:MGI:1915518]	ENSMUSG00000028403
greasy coat	82798738	82859958	Zdhhc21	zinc finger, DHHC domain containing 21 [Source:MGI Symbol;Acc:MGI:1915518]	ENSMUSG00000028403
abnormal skin physiology	82798738	82859958	Zdhhc21	zinc finger, DHHC domain containing 21 [Source:MGI Symbol;Acc:MGI:1915518]	ENSMUSG00000028403
epidermal cyst	82798738	82859958	Zdhhc21	zinc finger, DHHC domain containing 21 [Source:MGI Symbol;Acc:MGI:1915518]	ENSMUSG00000028403
abnormal hair follicle morphology	82798738	82859958	Zdhhc21	zinc finger, DHHC domain containing 21 [Source:MGI Symbol;Acc:MGI:1915518]	ENSMUSG00000028403
abnormal hair follicle orientation	82798738	82859958	Zdhhc21	zinc finger, DHHC domain containing 21 [Source:MGI Symbol;Acc:MGI:1915518]	ENSMUSG00000028403
abnormal hair cycle	82798738	82859958	Zdhhc21	zinc finger, DHHC domain containing 21 [Source:MGI Symbol;Acc:MGI:1915518]	ENSMUSG00000028403
abnormal hair follicle development	82798738	82859958	Zdhhc21	zinc finger, DHHC domain containing 21 [Source:MGI Symbol;Acc:MGI:1915518]	ENSMUSG00000028403
protein palmitoylation	82798738	82859958	Zdhhc21	zinc finger, DHHC domain containing 21 [Source:MGI Symbol;Acc:MGI:1915518]	ENSMUSG00000028403
sebaceous gland development	82798738	82859958	Zdhhc21	zinc finger, DHHC domain containing 21 [Source:MGI Symbol;Acc:MGI:1915518]	ENSMUSG00000028403
no abnormal phenotype detected	82881751	82885148	Cer1	cerberus 1, DAN family BMP antagonist [Source:MGI Symbol;Acc:MGI:1201414]	ENSMUSG00000038192
increased coping response	82881751	82885148	Cer1	cerberus 1, DAN family BMP antagonist [Source:MGI Symbol;Acc:MGI:1201414]	ENSMUSG00000038192
hypoactivity	82881751	82885148	Cer1	cerberus 1, DAN family BMP antagonist [Source:MGI Symbol;Acc:MGI:1201414]	ENSMUSG00000038192
increased anxiety-related response	82881751	82885148	Cer1	cerberus 1, DAN family BMP antagonist [Source:MGI Symbol;Acc:MGI:1201414]	ENSMUSG00000038192
increased body weight	82881751	82885148	Cer1	cerberus 1, DAN family BMP antagonist [Source:MGI Symbol;Acc:MGI:1201414]	ENSMUSG00000038192
abnormal metanephric ureteric bud development	82881751	82885148	Cer1	cerberus 1, DAN family BMP antagonist [Source:MGI Symbol;Acc:MGI:1201414]	ENSMUSG00000038192
	78233986	78234927	Gm11260	predicted gene 11260 [Source:MGI Symbol;Acc:MGI:3651928]	ENSMUSG00000082351
	78659858	78661588	Gm11261	predicted gene 11261 [Source:MGI Symbol;Acc:MGI:3650239]	ENSMUSG00000085840
rectal prolapse	82897920	83052339	Frem1	Fras1 related extracellular matrix protein 1 [Source:MGI Symbol;Acc:MGI:2670972]	ENSMUSG00000059049
abnormal kidney morphology	82897920	83052339	Frem1	Fras1 related extracellular matrix protein 1 [Source:MGI Symbol;Acc:MGI:2670972]	ENSMUSG00000059049
coloboma	82897920	83052339	Frem1	Fras1 related extracellular matrix protein 1 [Source:MGI Symbol;Acc:MGI:2670972]	ENSMUSG00000059049
cryptophthalmos	82897920	83052339	Frem1	Fras1 related extracellular matrix protein 1 [Source:MGI Symbol;Acc:MGI:2670972]	ENSMUSG00000059049
abnormal eye development	82897920	83052339	Frem1	Fras1 related extracellular matrix protein 1 [Source:MGI Symbol;Acc:MGI:2670972]	ENSMUSG00000059049
abnormal craniofacial morphology	82897920	83052339	Frem1	Fras1 related extracellular matrix protein 1 [Source:MGI Symbol;Acc:MGI:2670972]	ENSMUSG00000059049
abnormal cranial suture morphology	82897920	83052339	Frem1	Fras1 related extracellular matrix protein 1 [Source:MGI Symbol;Acc:MGI:2670972]	ENSMUSG00000059049
syndactyly	82897920	83052339	Frem1	Fras1 related extracellular matrix protein 1 [Source:MGI Symbol;Acc:MGI:2670972]	ENSMUSG00000059049
ocular hypertelorism	82897920	83052339	Frem1	Fras1 related extracellular matrix protein 1 [Source:MGI Symbol;Acc:MGI:2670972]	ENSMUSG00000059049
broad nasal bone	82897920	83052339	Frem1	Fras1 related extracellular matrix protein 1 [Source:MGI Symbol;Acc:MGI:2670972]	ENSMUSG00000059049
abnormal conjunctiva morphology	82897920	83052339	Frem1	Fras1 related extracellular matrix protein 1 [Source:MGI Symbol;Acc:MGI:2670972]	ENSMUSG00000059049
abnormal metopic suture morphology	82897920	83052339	Frem1	Fras1 related extracellular matrix protein 1 [Source:MGI Symbol;Acc:MGI:2670972]	ENSMUSG00000059049
short snout	82897920	83052339	Frem1	Fras1 related extracellular matrix protein 1 [Source:MGI Symbol;Acc:MGI:2670972]	ENSMUSG00000059049
decreased cornea thickness	82897920	83052339	Frem1	Fras1 related extracellular matrix protein 1 [Source:MGI Symbol;Acc:MGI:2670972]	ENSMUSG00000059049
bleb	82897920	83052339	Frem1	Fras1 related extracellular matrix protein 1 [Source:MGI Symbol;Acc:MGI:2670972]	ENSMUSG00000059049
abnormal eye morphology	82897920	83052339	Frem1	Fras1 related extracellular matrix protein 1 [Source:MGI Symbol;Acc:MGI:2670972]	ENSMUSG00000059049
abnormal digit morphology	82897920	83052339	Frem1	Fras1 related extracellular matrix protein 1 [Source:MGI Symbol;Acc:MGI:2670972]	ENSMUSG00000059049
microphthalmia	82897920	83052339	Frem1	Fras1 related extracellular matrix protein 1 [Source:MGI Symbol;Acc:MGI:2670972]	ENSMUSG00000059049
single kidney	82897920	83052339	Frem1	Fras1 related extracellular matrix protein 1 [Source:MGI Symbol;Acc:MGI:2670972]	ENSMUSG00000059049
fused right lung lobes	82897920	83052339	Frem1	Fras1 related extracellular matrix protein 1 [Source:MGI Symbol;Acc:MGI:2670972]	ENSMUSG00000059049
abnormal anogenital distance	82897920	83052339	Frem1	Fras1 related extracellular matrix protein 1 [Source:MGI Symbol;Acc:MGI:2670972]	ENSMUSG00000059049
eyelids fail to open	82897920	83052339	Frem1	Fras1 related extracellular matrix protein 1 [Source:MGI Symbol;Acc:MGI:2670972]	ENSMUSG00000059049
diaphragmatic hernia	82897920	83052339	Frem1	Fras1 related extracellular matrix protein 1 [Source:MGI Symbol;Acc:MGI:2670972]	ENSMUSG00000059049
abnormal postnatal growth/weight/body size	82897920	83052339	Frem1	Fras1 related extracellular matrix protein 1 [Source:MGI Symbol;Acc:MGI:2670972]	ENSMUSG00000059049
abnormal gallbladder morphology	82897920	83052339	Frem1	Fras1 related extracellular matrix protein 1 [Source:MGI Symbol;Acc:MGI:2670972]	ENSMUSG00000059049
blistering	82897920	83052339	Frem1	Fras1 related extracellular matrix protein 1 [Source:MGI Symbol;Acc:MGI:2670972]	ENSMUSG00000059049
abnormal epidermal layer morphology	82897920	83052339	Frem1	Fras1 related extracellular matrix protein 1 [Source:MGI Symbol;Acc:MGI:2670972]	ENSMUSG00000059049
abnormal brain morphology	82897920	83052339	Frem1	Fras1 related extracellular matrix protein 1 [Source:MGI Symbol;Acc:MGI:2670972]	ENSMUSG00000059049
prenatal lethality incomplete penetrance	82897920	83052339	Frem1	Fras1 related extracellular matrix protein 1 [Source:MGI Symbol;Acc:MGI:2670972]	ENSMUSG00000059049
eyelids open at birth	82897920	83052339	Frem1	Fras1 related extracellular matrix protein 1 [Source:MGI Symbol;Acc:MGI:2670972]	ENSMUSG00000059049
polydactyly	82897920	83052339	Frem1	Fras1 related extracellular matrix protein 1 [Source:MGI Symbol;Acc:MGI:2670972]	ENSMUSG00000059049
anophthalmia	82897920	83052339	Frem1	Fras1 related extracellular matrix protein 1 [Source:MGI Symbol;Acc:MGI:2670972]	ENSMUSG00000059049
absent kidney	82897920	83052339	Frem1	Fras1 related extracellular matrix protein 1 [Source:MGI Symbol;Acc:MGI:2670972]	ENSMUSG00000059049
abnormal kidney development	82897920	83052339	Frem1	Fras1 related extracellular matrix protein 1 [Source:MGI Symbol;Acc:MGI:2670972]	ENSMUSG00000059049
asymmetric snout	82897920	83052339	Frem1	Fras1 related extracellular matrix protein 1 [Source:MGI Symbol;Acc:MGI:2670972]	ENSMUSG00000059049
preweaning lethality incomplete penetrance	82897920	83052339	Frem1	Fras1 related extracellular matrix protein 1 [Source:MGI Symbol;Acc:MGI:2670972]	ENSMUSG00000059049
abnormal diaphragm development	82897920	83052339	Frem1	Fras1 related extracellular matrix protein 1 [Source:MGI Symbol;Acc:MGI:2670972]	ENSMUSG00000059049
early eyelid opening	82897920	83052339	Frem1	Fras1 related extracellular matrix protein 1 [Source:MGI Symbol;Acc:MGI:2670972]	ENSMUSG00000059049
no abnormal phenotype detected	82897920	83052339	Frem1	Fras1 related extracellular matrix protein 1 [Source:MGI Symbol;Acc:MGI:2670972]	ENSMUSG00000059049
premature suture closure	82897920	83052339	Frem1	Fras1 related extracellular matrix protein 1 [Source:MGI Symbol;Acc:MGI:2670972]	ENSMUSG00000059049
absent eyelids	82897920	83052339	Frem1	Fras1 related extracellular matrix protein 1 [Source:MGI Symbol;Acc:MGI:2670972]	ENSMUSG00000059049
abnormal cornea morphology	82897920	83052339	Frem1	Fras1 related extracellular matrix protein 1 [Source:MGI Symbol;Acc:MGI:2670972]	ENSMUSG00000059049
abnormal corneal epithelium morphology	82897920	83052339	Frem1	Fras1 related extracellular matrix protein 1 [Source:MGI Symbol;Acc:MGI:2670972]	ENSMUSG00000059049
abnormal retina morphology	82897920	83052339	Frem1	Fras1 related extracellular matrix protein 1 [Source:MGI Symbol;Acc:MGI:2670972]	ENSMUSG00000059049
cell-matrix adhesion	82897920	83052339	Frem1	Fras1 related extracellular matrix protein 1 [Source:MGI Symbol;Acc:MGI:2670972]	ENSMUSG00000059049
	78697652	78698928	Gm11262	predicted gene 11262 [Source:MGI Symbol;Acc:MGI:3650238]	ENSMUSG00000083629
	79327708	79328456	Gm11263	predicted gene 11263 [Source:MGI Symbol;Acc:MGI:3651899]	ENSMUSG00000083496
	79874351	79874753	Gm11409	predicted gene 11409 [Source:MGI Symbol;Acc:MGI:3652024]	ENSMUSG00000084248
	80002331	80003388	Gm11407	predicted gene 11407 [Source:MGI Symbol;Acc:MGI:3651131]	ENSMUSG00000082179
	80003396	80003914	Gm11408	predicted gene 11408 [Source:MGI Symbol;Acc:MGI:3651130]	ENSMUSG00000083076
	80003989	80005131	Gm11410	predicted gene 11410 [Source:MGI Symbol;Acc:MGI:3652015]	ENSMUSG00000083219
	80440398	80440881	Gm11406	predicted gene 11406 [Source:MGI Symbol;Acc:MGI:3651132]	ENSMUSG00000082555
prenatal lethality complete penetrance	80834123	80851719	Tyrp1	tyrosinase-related protein 1 [Source:MGI Symbol;Acc:MGI:98881]	ENSMUSG00000005994
abnormal coat/hair pigmentation	80834123	80851719	Tyrp1	tyrosinase-related protein 1 [Source:MGI Symbol;Acc:MGI:98881]	ENSMUSG00000005994
perinatal lethality complete penetrance	80834123	80851719	Tyrp1	tyrosinase-related protein 1 [Source:MGI Symbol;Acc:MGI:98881]	ENSMUSG00000005994
diluted coat color	80834123	80851719	Tyrp1	tyrosinase-related protein 1 [Source:MGI Symbol;Acc:MGI:98881]	ENSMUSG00000005994
decreased eye pigmentation	80834123	80851719	Tyrp1	tyrosinase-related protein 1 [Source:MGI Symbol;Acc:MGI:98881]	ENSMUSG00000005994
decreased bleeding time	80834123	80851719	Tyrp1	tyrosinase-related protein 1 [Source:MGI Symbol;Acc:MGI:98881]	ENSMUSG00000005994
increased bleeding time	80834123	80851719	Tyrp1	tyrosinase-related protein 1 [Source:MGI Symbol;Acc:MGI:98881]	ENSMUSG00000005994
abnormal iris pigmentation	80834123	80851719	Tyrp1	tyrosinase-related protein 1 [Source:MGI Symbol;Acc:MGI:98881]	ENSMUSG00000005994
abnormal ear morphology	80834123	80851719	Tyrp1	tyrosinase-related protein 1 [Source:MGI Symbol;Acc:MGI:98881]	ENSMUSG00000005994
abnormal endocochlear potential	80834123	80851719	Tyrp1	tyrosinase-related protein 1 [Source:MGI Symbol;Acc:MGI:98881]	ENSMUSG00000005994
abnormal inner ear morphology	80834123	80851719	Tyrp1	tyrosinase-related protein 1 [Source:MGI Symbol;Acc:MGI:98881]	ENSMUSG00000005994
abnormal hearing physiology	80834123	80851719	Tyrp1	tyrosinase-related protein 1 [Source:MGI Symbol;Acc:MGI:98881]	ENSMUSG00000005994
decreased endocochlear potential	80834123	80851719	Tyrp1	tyrosinase-related protein 1 [Source:MGI Symbol;Acc:MGI:98881]	ENSMUSG00000005994
abnormal strial intermediate cell morphology	80834123	80851719	Tyrp1	tyrosinase-related protein 1 [Source:MGI Symbol;Acc:MGI:98881]	ENSMUSG00000005994
abnormal iris stroma morphology	80834123	80851719	Tyrp1	tyrosinase-related protein 1 [Source:MGI Symbol;Acc:MGI:98881]	ENSMUSG00000005994
abnormal iris morphology	80834123	80851719	Tyrp1	tyrosinase-related protein 1 [Source:MGI Symbol;Acc:MGI:98881]	ENSMUSG00000005994
iris atrophy	80834123	80851719	Tyrp1	tyrosinase-related protein 1 [Source:MGI Symbol;Acc:MGI:98881]	ENSMUSG00000005994
reduced female fertility	80834123	80851719	Tyrp1	tyrosinase-related protein 1 [Source:MGI Symbol;Acc:MGI:98881]	ENSMUSG00000005994
male infertility	80834123	80851719	Tyrp1	tyrosinase-related protein 1 [Source:MGI Symbol;Acc:MGI:98881]	ENSMUSG00000005994
abnormal behavior	80834123	80851719	Tyrp1	tyrosinase-related protein 1 [Source:MGI Symbol;Acc:MGI:98881]	ENSMUSG00000005994
decreased body size	80834123	80851719	Tyrp1	tyrosinase-related protein 1 [Source:MGI Symbol;Acc:MGI:98881]	ENSMUSG00000005994
acetoacetic acid metabolic process	80834123	80851719	Tyrp1	tyrosinase-related protein 1 [Source:MGI Symbol;Acc:MGI:98881]	ENSMUSG00000005994
melanin metabolic process	80834123	80851719	Tyrp1	tyrosinase-related protein 1 [Source:MGI Symbol;Acc:MGI:98881]	ENSMUSG00000005994
melanocyte differentiation	80834123	80851719	Tyrp1	tyrosinase-related protein 1 [Source:MGI Symbol;Acc:MGI:98881]	ENSMUSG00000005994
melanosome organization	80834123	80851719	Tyrp1	tyrosinase-related protein 1 [Source:MGI Symbol;Acc:MGI:98881]	ENSMUSG00000005994
increased ear pigmentation	80834123	80851719	Tyrp1	tyrosinase-related protein 1 [Source:MGI Symbol;Acc:MGI:98881]	ENSMUSG00000005994
	83121541	83121741	Gm11248	predicted gene 11248 [Source:MGI Symbol;Acc:MGI:3651451]	ENSMUSG00000082637
	83193988	83194994	Gm11185	predicted gene 11185 [Source:MGI Symbol;Acc:MGI:3650877]	ENSMUSG00000083245
decreased circulating triglyceride level	83220300	83324255	Ttc39b	tetratricopeptide repeat domain 39B [Source:MGI Symbol;Acc:MGI:1917113]	ENSMUSG00000038172
decreased circulating creatinine level	83220300	83324255	Ttc39b	tetratricopeptide repeat domain 39B [Source:MGI Symbol;Acc:MGI:1917113]	ENSMUSG00000038172
decreased circulating creatinine level	83220300	83324255	Ttc39b	tetratricopeptide repeat domain 39B [Source:MGI Symbol;Acc:MGI:1917113]	ENSMUSG00000038172
thrombocytosis	83220300	83324255	Ttc39b	tetratricopeptide repeat domain 39B [Source:MGI Symbol;Acc:MGI:1917113]	ENSMUSG00000038172
	80910646	80955628	Lurap1l	leucine rich adaptor protein 1-like [Source:MGI Symbol;Acc:MGI:106510]	ENSMUSG00000048706
	83378317	83390668	Gm11413	predicted gene 11413 [Source:MGI Symbol;Acc:MGI:3650701]	ENSMUSG00000086321
	83383064	83392205	Gm11184	predicted gene 11184 [Source:MGI Symbol;Acc:MGI:3651087]	ENSMUSG00000087592
blepharitis	83455680	83486459	Psip1	PC4 and SFRS1 interacting protein 1 [Source:MGI Symbol;Acc:MGI:2142116]	ENSMUSG00000028484
small testis	83455680	83486459	Psip1	PC4 and SFRS1 interacting protein 1 [Source:MGI Symbol;Acc:MGI:2142116]	ENSMUSG00000028484
decreased total body fat amount	83455680	83486459	Psip1	PC4 and SFRS1 interacting protein 1 [Source:MGI Symbol;Acc:MGI:2142116]	ENSMUSG00000028484
reduced male fertility	83455680	83486459	Psip1	PC4 and SFRS1 interacting protein 1 [Source:MGI Symbol;Acc:MGI:2142116]	ENSMUSG00000028484
domed cranium	83455680	83486459	Psip1	PC4 and SFRS1 interacting protein 1 [Source:MGI Symbol;Acc:MGI:2142116]	ENSMUSG00000028484
cervical vertebral transformation	83455680	83486459	Psip1	PC4 and SFRS1 interacting protein 1 [Source:MGI Symbol;Acc:MGI:2142116]	ENSMUSG00000028484
decreased vertical activity	83455680	83486459	Psip1	PC4 and SFRS1 interacting protein 1 [Source:MGI Symbol;Acc:MGI:2142116]	ENSMUSG00000028484
absent gastric milk in neonates	83455680	83486459	Psip1	PC4 and SFRS1 interacting protein 1 [Source:MGI Symbol;Acc:MGI:2142116]	ENSMUSG00000028484
perinatal lethality incomplete penetrance	83455680	83486459	Psip1	PC4 and SFRS1 interacting protein 1 [Source:MGI Symbol;Acc:MGI:2142116]	ENSMUSG00000028484
abnormal spine curvature	83455680	83486459	Psip1	PC4 and SFRS1 interacting protein 1 [Source:MGI Symbol;Acc:MGI:2142116]	ENSMUSG00000028484
no abnormal phenotype detected	83455680	83486459	Psip1	PC4 and SFRS1 interacting protein 1 [Source:MGI Symbol;Acc:MGI:2142116]	ENSMUSG00000028484
thoracic vertebral transformation	83455680	83486459	Psip1	PC4 and SFRS1 interacting protein 1 [Source:MGI Symbol;Acc:MGI:2142116]	ENSMUSG00000028484
abnormal cervical vertebrae morphology	83455680	83486459	Psip1	PC4 and SFRS1 interacting protein 1 [Source:MGI Symbol;Acc:MGI:2142116]	ENSMUSG00000028484
abnormal rib development	83455680	83486459	Psip1	PC4 and SFRS1 interacting protein 1 [Source:MGI Symbol;Acc:MGI:2142116]	ENSMUSG00000028484
abnormal axial skeleton morphology	83455680	83486459	Psip1	PC4 and SFRS1 interacting protein 1 [Source:MGI Symbol;Acc:MGI:2142116]	ENSMUSG00000028484
lumbar vertebral transformation	83455680	83486459	Psip1	PC4 and SFRS1 interacting protein 1 [Source:MGI Symbol;Acc:MGI:2142116]	ENSMUSG00000028484
short nasal bone	83455680	83486459	Psip1	PC4 and SFRS1 interacting protein 1 [Source:MGI Symbol;Acc:MGI:2142116]	ENSMUSG00000028484
abnormal vertebrae morphology	83455680	83486459	Psip1	PC4 and SFRS1 interacting protein 1 [Source:MGI Symbol;Acc:MGI:2142116]	ENSMUSG00000028484
abnormal rib morphology	83455680	83486459	Psip1	PC4 and SFRS1 interacting protein 1 [Source:MGI Symbol;Acc:MGI:2142116]	ENSMUSG00000028484
asymmetric rib attachment	83455680	83486459	Psip1	PC4 and SFRS1 interacting protein 1 [Source:MGI Symbol;Acc:MGI:2142116]	ENSMUSG00000028484
short sternum	83455680	83486459	Psip1	PC4 and SFRS1 interacting protein 1 [Source:MGI Symbol;Acc:MGI:2142116]	ENSMUSG00000028484
decreased grip strength	83455680	83486459	Psip1	PC4 and SFRS1 interacting protein 1 [Source:MGI Symbol;Acc:MGI:2142116]	ENSMUSG00000028484
abnormal occipital bone morphology	83455680	83486459	Psip1	PC4 and SFRS1 interacting protein 1 [Source:MGI Symbol;Acc:MGI:2142116]	ENSMUSG00000028484
small interparietal bone	83455680	83486459	Psip1	PC4 and SFRS1 interacting protein 1 [Source:MGI Symbol;Acc:MGI:2142116]	ENSMUSG00000028484
broad nasal bone	83455680	83486459	Psip1	PC4 and SFRS1 interacting protein 1 [Source:MGI Symbol;Acc:MGI:2142116]	ENSMUSG00000028484
shortened head	83455680	83486459	Psip1	PC4 and SFRS1 interacting protein 1 [Source:MGI Symbol;Acc:MGI:2142116]	ENSMUSG00000028484
hypoactivity	83455680	83486459	Psip1	PC4 and SFRS1 interacting protein 1 [Source:MGI Symbol;Acc:MGI:2142116]	ENSMUSG00000028484
absent epididymal fat pad	83455680	83486459	Psip1	PC4 and SFRS1 interacting protein 1 [Source:MGI Symbol;Acc:MGI:2142116]	ENSMUSG00000028484
spleen atrophy	83455680	83486459	Psip1	PC4 and SFRS1 interacting protein 1 [Source:MGI Symbol;Acc:MGI:2142116]	ENSMUSG00000028484
vertebral transformation	83455680	83486459	Psip1	PC4 and SFRS1 interacting protein 1 [Source:MGI Symbol;Acc:MGI:2142116]	ENSMUSG00000028484
decreased lumbar vertebrae number	83455680	83486459	Psip1	PC4 and SFRS1 interacting protein 1 [Source:MGI Symbol;Acc:MGI:2142116]	ENSMUSG00000028484
decreased rib number	83455680	83486459	Psip1	PC4 and SFRS1 interacting protein 1 [Source:MGI Symbol;Acc:MGI:2142116]	ENSMUSG00000028484
hunched posture	83455680	83486459	Psip1	PC4 and SFRS1 interacting protein 1 [Source:MGI Symbol;Acc:MGI:2142116]	ENSMUSG00000028484
broad head	83455680	83486459	Psip1	PC4 and SFRS1 interacting protein 1 [Source:MGI Symbol;Acc:MGI:2142116]	ENSMUSG00000028484
abnormal neurocranium morphology	83455680	83486459	Psip1	PC4 and SFRS1 interacting protein 1 [Source:MGI Symbol;Acc:MGI:2142116]	ENSMUSG00000028484
abnormal cervical atlas morphology	83455680	83486459	Psip1	PC4 and SFRS1 interacting protein 1 [Source:MGI Symbol;Acc:MGI:2142116]	ENSMUSG00000028484
abnormal abdominal fat pad morphology	83455680	83486459	Psip1	PC4 and SFRS1 interacting protein 1 [Source:MGI Symbol;Acc:MGI:2142116]	ENSMUSG00000028484
small supraoccipital bone	83455680	83486459	Psip1	PC4 and SFRS1 interacting protein 1 [Source:MGI Symbol;Acc:MGI:2142116]	ENSMUSG00000028484
abnormal cranium morphology	83455680	83486459	Psip1	PC4 and SFRS1 interacting protein 1 [Source:MGI Symbol;Acc:MGI:2142116]	ENSMUSG00000028484
abnormal cervical axis morphology	83455680	83486459	Psip1	PC4 and SFRS1 interacting protein 1 [Source:MGI Symbol;Acc:MGI:2142116]	ENSMUSG00000028484
small exoccipital bone	83455680	83486459	Psip1	PC4 and SFRS1 interacting protein 1 [Source:MGI Symbol;Acc:MGI:2142116]	ENSMUSG00000028484
abnormal nasal bone morphology	83455680	83486459	Psip1	PC4 and SFRS1 interacting protein 1 [Source:MGI Symbol;Acc:MGI:2142116]	ENSMUSG00000028484
